# ファッション: 洋服の上に着る外套。レーンコート, スポーツ: テニス・バレーボールなどの競技場。, ファッション: 背広などの上着。, ファッション: 和服の上に着る婦人用外套。
その他	コート	普通のワインとしてコート ド ローヌ(白)と、"ピノ ノワール"(SHOEさんご推薦のVezelay近郊の伝統ある赤ワイン)も香り高く、マイルドな味で印象深いものでした
スポーツ	コート	あんなに狭いコートなのに、なんであんなに疲れるのかが疑問で仕方ないけど、今日は予想ドオリの筋肉痛でございます(; はらいたい、くびいたい、あしいたい、こしいたい(;;
ファッション	コート	つい先程まで、鳶色の髪の毛をしていたのに、何故今は雪のように真っ白い髪に変色しているのかとか、つい先程まで漆黒のロングコートを着用していたのに、何故今は白い服と白いロングスカートを着用しているのか
スポーツ	コート	女子テニスの韓国オープンは27日、ソウルの五輪公園テニスコートで行われ、シングルス決勝で 世界ランク155位のクルム伊達公子(38=エステティックTBC)は世界ランク23位、 第2シードのアナベル・メディナガリゲス(27=スペイン)に6―3・6―3で勝利した
スポーツ	コート	大阪大学のコートは、以前はアンツーカが4面でした、数年前に2面を砂入り人工芝コートに改装、今年になって残り1面を砂入り人工芝に、1面をハードコート(Decoturf)に改装されていました
その他	コート	だから、自分が本当は動揺していることさえ悟られるのも我慢ならないから、もっとも自信も持てるコート(法廷)のルールを当てはめようとする→判断力に影響を及ぼす
スポーツ	コート	早くも第1ステージ優勝チームと2位チームの対戦となったこの試合、開始早々じゃじゃは自陣コートに全員引いて守るというディフェンシブなシフトをとった
その他	コート	蝶理がまとめ役となって市場と産地の情報交換を進め、大手アパレルに特徴ある後加工をつけたコート地や、細デニール糸を使ったダウンウエア用の軽量織物、ナイロンの2ウエイストレッチ織物などの納入実績をすでに上げた
スポーツ	コート	この緑葉公園には野球場、サッカー場、テニスコートなどの施設があり、遊歩道も整備されているので、市民が屋外スポーツを楽しむように設計された公園である
スポーツ	コート	コートの水取り等手伝って頂いた各大学の皆様本当にありがとうございました雨が降っては止んだりと何度も水取りをする事となりましたが、回を重ねる事にたくさんの方が水取りを手伝ってくれて学連一同非常に助かりました本当にありがとうございます
スポーツ	コート	施主は雇用能力開発機構、工事監理は(株)教育施設研究所、施工は地元工務店という文書を受け取った近隣住民からは、「勤労者の財産である雇用保険を使った挙句、取り壊しとは許せない」、「せめて体育館やテニスコートなど地元住民が有効活用できるようすべきではないか」と電話や投書が社民党市議団へ寄せられた
ファッション	コート	*なんか帰り、機材を運んでる姿を見ましたがやっぱりパーカーのままで、「長野のヒトはこれくらいの気温じゃー寒くはないのか」などとひとり感慨深いものがありましたが、冷静になって考えてみるとエリクリさんはがっつりコート着てたし、そもそも神戸出身で長野人じゃないじゃんねぇ
スポーツ	コート	見学者が増えたので、町行政も力を入れるようになり、村民グラウンド、パターゴルフ場、全天候型テニスコート=芳洲グラウンド、河川敷公園が次々にできた
その他	コート	2度目の訪問時には検査装置のデータも見た上、スピンコート方式の欠点と言われる各要素を解決していることが数値として確認できるレベルに達していたが、そのことを佐藤氏にぶつけても「できるといいですね」と、スピンコート方式のBD複製技術に興味も示さなかった
スポーツ	コート	園内にはトリムコースやテニスコート、野球場や陸上競技場、総合体育館等があり、体育館ではバドミントンなどが楽しめるほか、トレーニング室や卓球室、室内プールなどが揃っています
スポーツ	コート	露 天風呂(ろてんぶろ)のある「もりのいずみ」の他、「もりのコテージ」、全天候型 (ぜんてんこうがた)の人工芝テニスコート、アスレチック気分が楽しめるちびっこ広 場など、美しい森の中に楽しみがいっぱいです
その他	コート	特に重くないタオル掛けやコートフックなどでも、壁の下地が石膏ボードだと釘がきかないので、下地のときに補強しておかないと後で困ることになってしまう
その他	コート	「タイベック1056D」は、他では類を見ない和紙のような風合いを持ち、超軽量でありながら、優れた強度、耐候性、耐水性を備えたノンコートメディア
その他	コート	その三沢は舞楽の始まるやっと五六分前にフロックコートでやって来て、入口の金屏風の所でしばらく観覧席を見渡しながら躊躇ちゅうちょしていたが、自分の顔を見つけるや否や、すぐ傍へ来て腰をかけた
その他	コート	●ドライヤーの熱や、ブラッシング時の摩擦にからコートを守ります●帯電防止効果がすぐれているので、静電気を抑え、もつれや毛玉をできにくくします●ノンオイル処方
スポーツ	コート	そこで公共のアウトドアのテニスコート(比較的多数ある)を借りてみて、テニスだけでなくスピードミントンも一緒にしてみてはどうかという案が現在でています
その他	コート	けど、この制服パーカーがコート風だもんでね、 よしくんの動きはビシっと止まってるのに、 サラっとコートが揺れたりして、動きの全てが見れないシーンがあったりして、 ちょっともったいないかも
スポーツ	コート	それから、線路沿いに市立大学のテニスコートがあって、今テニスコートになっていますけども、あれはもう簡易なもんで、いつでも取り壊しができる土地であります
スポーツ	コート	ここは、ホテルのほかに、温泉やテニスコート、陶芸工房やパン工房、リース工房に木工工房、こんにゃく工房といった体験施設、そして、コテージや川遊び場、釣り堀にふれあい農園といろんな施設がまとまってあるところです
ファッション	コート	特に寒くなるお客様の相談が増えてくるのが、コートと雨ゴート、そして雨草履、雨傘などの冬対策の商品と、かんざしや髪飾り・刺しゅうの半衿などの和装の小物です
スポーツ	コート	阪東バス柏駅行き「大津が丘1丁目」下車徒歩1分 大津ヶ丘団地の中心部にある公園で、広い敷地には野球場、テニスコート(クレー3面)、野外プール、ジョギングコースがある
スポーツ	コート	ぼくは、バレーボールをやっていて、バレーボールはコート内で6人の選手がいっしょに戦うので、チームワークとあきらめない気持ちというのは、十分必要だと思うので日頃から意識していきたいです
ファッション	コート	着衣は紺がかった紫色の半コート、チェック柄の長袖シャツ、ブルージーンズ、白色肌着、腹巻、パンツ、靴下、防寒靴、(なおジーンズには今田のネームあり)、白骨化しており死亡推定平成10年3月頃
ファッション	コート	その女性は、40代半ばくらいで、コートも、靴も、それほどには朽ちたモノを身につけている訳ではなかったが、半透明のショッピングバッグには、トイレットペーパーの6ケ入りの袋が、いくつか欠けた状態で、入っていた
ファッション	コート	服と言えば、いい加減寒くなってきたのでそろそろコートを出そうかとも思うのだけれども、流石に年も明けぬうちから防寒態勢に入るのは東北人として如何な物かとも思うし、どうしたものか
